name,designation,ra,ra_err,dec,dec_err,w1_mean,w1_mean_err,w1_median,w1_median_err,w1_min,w1_min_err,w1_max,w1_max_err,w1_snr,w1_snr_min,w1_snr_max,w1_num_pts,w1_amplitude,w1_mean_w1_median,w1_M_value,w1_fap,w1_sde,w1_power,w1_period,w2_mean,w2_mean_err,w2_median,w2_median_err,w2_min,w2_min_err,w2_max,w2_max_err,w2_snr,w2_snr_min,w2_snr_max,w2_num_pts,w2_amplitude,w2_mean_w2_median,w2_M_value,w2_fap,w2_sde,w2_power,w2_period,w3_mean,w3_mean_err,w3_snr,w4_mean,w4_mean_err,w4_snr,w1_w2,delta_time,filter_flag,wiseview
SDSS J080531.84+481233.0,J080531.11+481234.19,121.3793129764977,0.07708064516129033,48.209447178341016,0.08523225806451613,12.9,0.032,12.898,0.031,12.813,0.028,12.977,0.034,34.779,22.8,41.9,107,0.164,0.002,0.482,0.0010000000000000009,10.599435915658148,0.22740982142541666,0.024959253516763105,12.504,0.052,12.502,0.05,12.382,0.054,12.672,0.059,21.352,14.9,27.0,110,0.29,0.002,0.584,0.0,4.955768670418001,0.24063888529721028,92.5929231311531,11.048,0.469,1.625,7.689,,0.929,0.396,4577.176833450001,AA,http://byw.tools/wiseview#ra=121.3796161&dec=48.20949601&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
HD 65216BC,J075341.03-633847.81,118.42094701003039,0.03291671732522796,-63.646640040121575,0.03622978723404255,5.805,0.039,5.767,0.038,5.301,0.046,6.452,0.025,30.859,11.9,129.4,325,1.151,0.038,0.595,0.038000000000000034,7.459310377897504,0.1824497336533475,0.06621283950338734,6.121,0.016,6.103,0.015,5.76,0.029,6.397,0.013,72.262,22.4,152.9,333,0.637,0.018,0.462,0.0,3.6304795100693577,0.13658789799048227,30.331718600347205,6.33,0.016,70.047,6.309,0.131,8.408,-0.316,4367.767478449998,AA,http://byw.tools/wiseview#ra=118.4209475&dec=-63.64661478&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSI J0746425+200032,J074642.10+200031.32,116.67510242658958,0.030694219653179193,20.00861810751445,0.030044508670520238,10.126,0.016,10.128,0.016,10.085,0.021,10.152,0.019,66.36,51.7,75.4,89,0.067,-0.002,0.358,0.008000000000000007,7.990920788101836,0.20761984216681467,0.3743535409133438,9.881,0.017,9.881,0.016,9.831,0.017,9.928,0.018,66.025,53.3,73.7,84,0.097,-0.0,0.485,0.0010000000000000009,6.61567849544681,0.27746908601554504,2.3515824279219557,,,,,,,0.245,2920.7437615599993,AA,http://byw.tools/wiseview#ra=116.6754&dec=20.0087&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
WISE J072003.20-084651.2,J072003.21-084651.42,110.01333501886792,0.03255188679245283,-8.781137136320755,0.031122641509433967,9.167,0.017,9.167,0.017,9.116,0.02,9.214,0.018,63.986,39.7,80.8,73,0.098,0.0,0.48,0.0010000000000000009,9.783107321721713,0.27797858708118145,0.05314658006548702,8.865,0.015,8.866,0.014,8.815,0.019,8.912,0.013,74.706,41.1,89.1,139,0.097,-0.001,0.474,0.010000000000000009,9.064160546366281,0.1444626555568391,0.03508861694781216,8.272,0.036,29.964,7.393,0.384,2.264,0.302,4577.326455530005,AA,http://byw.tools/wiseview#ra=110.0133613&dec=-8.780950835&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
LHS 1901,J071111.95+432949.20,107.80015402576419,0.027775545851528385,43.49657537991266,0.026417467248908304,8.928,0.016,8.93,0.016,8.891,0.016,8.964,0.021,69.493,39.5,84.8,115,0.073,-0.002,0.466,0.0010000000000000009,10.534861030688612,0.1824808722040234,0.02707200568979143,8.681,0.014,8.682,0.014,8.647,0.016,8.721,0.013,78.984,55.2,97.8,114,0.074,-0.001,0.527,0.017000000000000015,7.862069493179351,0.17174156287767472,0.33271648279447613,8.423,0.043,25.6,7.462,,1.0,0.247,4573.576225240002,AA,http://byw.tools/wiseview#ra=107.7998&dec=43.497&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J07003664+3157266,J070036.84+315717.04,105.15354574107144,0.03544702380952381,31.954220541071425,0.035164880952380954,10.693,0.018,10.694,0.017,10.655,0.017,10.734,0.017,61.833,35.7,72.0,84,0.079,-0.001,0.506,0.0,8.453712307514971,0.25359882742771,0.1758099415337669,10.394,0.019,10.394,0.019,10.337,0.018,10.439,0.022,56.837,41.4,65.7,84,0.102,-0.0,0.441,0.0,9.255102933853681,0.3196273025259572,0.6217518299582739,9.748,0.132,8.25,7.341,,1.3,0.299,4574.580539039998,AA,http://byw.tools/wiseview#ra=105.1535207&dec=31.95473263&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J06524851-5741376,J065248.55-574136.34,103.20216277251397,0.0556250279329609,-57.69361101988827,0.060649497206703915,12.167,0.024,12.168,0.023,12.102,0.026,12.238,0.024,45.782,29.3,55.9,449,0.136,-0.001,0.515,0.0010000000000000009,13.613708151936281,0.06699292288708174,0.0660376072939857,11.871,0.035,11.87,0.034,11.762,0.038,11.971,0.034,31.777,20.7,37.7,446,0.209,0.001,0.481,0.008000000000000007,3.5188899014307116,0.055342223067607374,104.80546067070941,11.028,0.343,3.259,7.778,0.474,0.972,0.296,4579.998631310002,AA,http://byw.tools/wiseview#ra=103.20230999237872&dec=-57.69342767755765&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
DENIS-P J0630014-184014,J063001.86-184023.26,97.50769027728813,0.040109661016949155,-18.673237398305083,0.04049406779661017,11.065,0.019,11.064,0.019,11.007,0.021,11.12,0.023,57.767,38.3,69.2,293,0.113,0.001,0.496,0.0020000000000000018,11.873001152518405,0.09015531945333287,0.06370636758204393,10.817,0.022,10.815,0.022,10.742,0.02,10.906,0.033,49.181,31.7,59.1,297,0.164,0.002,0.555,0.0,15.274749846066479,0.1307924476387101,0.06528525752344885,10.277,0.213,5.556,7.458,0.423,1.288,0.248,4577.158109670003,AA,http://byw.tools/wiseview#ra=97.50776123&dec=-18.67312695&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
WISEPA J061407.49+391236.4,J061407.48+391234.69,93.53076846363636,0.37611558441558446,39.208929554545456,0.41441623376623377,16.069,0.257,16.109,0.262,15.413,0.138,16.439,0.333,4.458,3.1,7.9,65,1.026,-0.04,0.322,0.04300000000000004,6.606836097065408,0.30878799026677456,0.09735907818012915,13.601,0.121,13.587,0.116,13.371,0.089,13.906,0.16,9.228,5.7,12.6,89,0.535,0.014,0.596,0.0030000000000000027,10.364074058662528,0.23621861284576853,0.04841785036771318,11.136,,1.175,7.778,,0.533,2.468,4576.51009032,AA,http://byw.tools/wiseview#ra=93.53115796&dec=39.20963722&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
WISEPA J061213.93-303612.7,J061213.90-303612.24,93.05758069241878,0.4924046931407942,-30.603903533574012,0.5518252707581227,16.173,0.265,16.218,0.267,15.455,0.221,16.61,0.351,4.283,3.1,7.0,69,1.155,-0.045,0.339,0.010000000000000009,7.87292900315583,0.2988616432914465,0.02278576395542605,14.033,0.164,14.03,0.157,13.547,0.14,14.466,0.263,6.933,3.9,11.6,208,0.919,0.003,0.474,0.013000000000000012,7.776057464689732,0.10975234715697328,0.4765552234087006,11.235,0.502,1.026,7.76,0.471,1.008,2.14,4577.233494970002,AA,http://byw.tools/wiseview#ra=93.0579&dec=-30.6034&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
